"year","catch","effort","log_cpue"
1965,93.5,52.52808989,0.576613364
1966,212.4,162.1374046,0.270027137
1967,195,214.2857143,-0.094310679
1968,382.7,398.6458333,-0.040821995
1969,320.4,364.0909091,-0.127833372
1970,402.5,447.2222222,-0.105360516
1971,365.6,420.2298851,-0.139262067
1972,606.1,841.8055556,-0.328504067
1973,377.6,662.4561404,-0.562118918
1974,318.8,708.4444444,-0.798507696
1975,309.4,736.6666667,-0.867500568
1976,389,926.1904762,-0.867500568
1977,276.9,565.1020408,-0.713349888
1978,254.3,591.3953488,-0.84397007
1979,170,425,-0.916290732
1980,97.2,216,-0.798507696
1981,90.5,164.5454545,-0.597837001
1982,176.5,333.0188679,-0.634878272
1983,216.2,372.7586207,-0.544727175
1984,228.7,357.34375,-0.446287103
1985,212.2,321.5151515,-0.415515444
1986,231.2,355.6923077,-0.430782916
1987,136.9,224.4262295,-0.494296322
1988,212,336.5079365,-0.46203546
